## 0: absence, 1: presence, 2: presence or absence
#pathotypes	stx1A	stx1B	stx2A	stx2B	stx2fA	stx2fB	aaiC	aatA	aap	aggR	bfpA	eae	icsA	ipaH	eltA	eltB	sta1	sta2
STEC (stx1)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STEC (stx2)	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0
STEC (stx12)	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0
STEC (stx2f)	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
EHEC (stx1)	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EHEC (stx2)	0	0	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0
EHEC (stx12)	1	1	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0
EHEC (stx2f)	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
tEPEC	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
aEPEC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
ETEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
EAEC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
EAEC	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
EIEC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
EIEC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EIEC	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Shigella ST1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Shigella ST1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Shigella ST1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
